si_code,si_lat,si_long,si_biome,n_days_complete,n species,n trees
AUS\_CAN\_ST1\_EUC,-37.58,149.17,WOOD,337,1,12
AUS\_CAN\_ST2\_MIX,-37.58,149.17,WOOD,712,2,22
AUS\_CAN\_ST3\_ACA,-37.58,149.17,WOOD,409,1,12
AUS\_CAR\_THI\_CON,-38.38,146.68,TEMP,54,1,7
AUS\_ELL\_UNB,-36.78,146.58,TEMP,105,1,2
AUS\_MAR\_UBD,-37.69,145.56,TEMP,50,3,5
AUS\_MAR\_UBW,-37.89,145.57,TEMP,105,3,5
AUS\_WOM,-37.42,144.09,TEMP,2130,2,11
AUT\_PAT\_FOR,47.21,11.45,BOR,149,1,3
AUT\_PAT\_KRU,47.21,11.45,BOR,70,1,3
AUT\_PAT\_TRE,47.21,11.45,BOR,81,1,3
BRA\_CAM,-22.69,-45.52,TROP,79,1,5
BRA\_CAX\_CON,-1.79,-51.43,TROP,525,8,15
CAN\_TUR\_P39\_PRE,42.71,-80.36,TEMP,1021,1,18
CAN\_TUR\_P74,42.71,-80.35,TEMP,1997,1,16
CHN\_ARG\_GWS,41.38,89.94,DRY,174,1,2
CHN\_HOR\_AFF,42.72,122.37,WOOD,1366,1,16
CHN\_YIN\_ST1,42.45,85.72,DRY,105,1,5
CRI\_TAM\_TOW,10.39,-84.63,TROP,666,17,26
CZE\_BIL\_BIL,49.25,16.69,TEMP,238,1,6
CZE\_KRT\_KRT,49.32,16.75,TEMP,238,1,6
CZE\_LAN,48.68,16.95,TEMP,1093,3,17
CZE\_RAJ\_RAJ,49.44,16.7,TEMP,274,1,6
CZE\_SOB\_SOB,49.25,16.69,TEMP,655,1,6
CZE\_STI,49.04,17.97,TEMP,263,1,8
CZE\_UTE\_BPO,49.28,16.65,TEMP,234,1,6
DEU\_HIN\_OAK,53.33,13.19,TEMP,482,1,8
DEU\_HIN\_TER,53.33,13.19,TEMP,1052,2,16
DEU\_MER\_BEE\_NON,49.27,7.81,TEMP,495,1,8
DEU\_MER\_DOU\_NON,49.27,7.81,TEMP,491,1,7
DEU\_MER\_MIX\_NON,49.27,7.81,TEMP,1108,2,17
DEU\_STE\_2P3,53.1,13,TEMP,722,1,10
DEU\_STE\_4P5,53.1,13,TEMP,327,1,10
ESP\_ALT\_ARM,40.78,-2.33,WOOD,1990,3,15
ESP\_ALT\_HUE,40.79,-2.29,WOOD,967,2,8
ESP\_ALT\_TRI,40.8,-2.23,WOOD,1522,2,12
ESP\_CAN,41.43,2.07,WOOD,2317,4,21
ESP\_GUA\_VAL,40.9,-4.03,WOOD,2100,1,24
ESP\_LAS,28.31,-16.57,WOOD,1778,1,10
ESP\_MAJ\_MAI,39.94,-5.77,WOOD,978,1,6
ESP\_MON\_SIE\_NAT,41.12,-3.5,WOOD,1250,3,20
ESP\_RIN,40.6,-6.02,WOOD,502,1,8
ESP\_RON\_PIL,36.69,-5.02,TEMP,911,2,12
ESP\_TIL\_MIX,41.33,1.01,WOOD,3434,2,32
ESP\_TIL\_OAK,41.33,1.01,WOOD,717,1,10
ESP\_TIL\_PIN,41.33,1.01,WOOD,589,1,9
ESP\_VAL\_BAR,42.2,1.82,WOOD,837,1,12
ESP\_VAL\_SOR,42.2,1.81,WOOD,1109,1,13
ESP\_YUN\_C1,36.72,-4.97,WOOD,619,1,6
ESP\_YUN\_C2,36.72,-4.97,WOOD,288,1,6
FIN\_HYY\_SME,61.85,24.29,TEMP,34,2,4
FIN\_PET,69.49,27.23,BOR,118,1,7
FRA\_FON,48.48,2.78,TEMP,276,1,3
FRA\_HES\_HE1\_NON,48.67,7.06,TEMP,620,1,10
FRA\_HES\_HE2\_NON,48.67,7.06,TEMP,1347,1,10
FRA\_PUE,43.74,3.6,WOOD,5229,1,25
GBR\_ABE\_PLO,56.62,-3.8,TEMP,486,1,15
GBR\_DEV\_CON,56.03,-3.72,TEMP,133,1,4
GBR\_GUI\_ST1,57.27,-4.82,TEMP,398,1,15
GBR\_GUI\_ST2,57.27,-4.82,TEMP,298,1,9
GBR\_GUI\_ST3,57.27,-4.82,TEMP,249,1,8
GUF\_GUY\_GUY,5.28,-52.92,TROP,246,6,6
GUF\_GUY\_ST2,5.28,-52.91,TROP,369,7,11
GUF\_NOU\_PET,4.08,-52.68,TROP,562,10,22
HUN\_SIK,47.93,20.44,WOOD,365,2,4
ISR\_YAT\_YAT,31.34,35.05,DRY,3704,1,24
ITA\_FEI\_S17,46.69,10.61,TEMP,244,1,6
ITA\_KAE\_S20,46.7,10.61,BOR,325,1,6
ITA\_MUN,46.68,10.58,TEMP,384,1,6
ITA\_REN,46.59,11.43,TEMP,247,3,8
ITA\_RUN\_N20,46.7,10.64,BOR,331,2,8
MEX\_COR\_YP,19.49,-97.04,TEMP,119,1,8
NLD\_LOO,52.17,5.74,TEMP,621,1,6
NLD\_SPE\_DOU,52.25,5.69,TEMP,107,1,3
NZL\_HUA\_HUA,-36.8,174.49,TEMP,243,1,6
PRT\_LEZ\_ARN,38.83,-8.82,WOOD,403,1,4
PRT\_MIT,38.54,-8,WOOD,494,1,4
PRT\_PIN,38.25,-8.76,WOOD,1233,2,20
RUS\_CHE\_Y4,68.74,161.41,BOR,447,1,11
RUS\_FYO,56.46,32.92,TEMP,1132,3,17
RUS\_POG\_VAR,56.36,92.95,TEMP,603,3,9
SEN\_SOU\_PRE,16.34,-15.43,DRY,466,1,3
SWE\_NOR\_ST1\_BEF,60.09,17.48,TEMP,653,2,22
SWE\_NOR\_ST2,60.09,17.48,TEMP,175,2,12
SWE\_NOR\_ST3,60.09,17.48,TEMP,810,2,37
SWE\_NOR\_ST5\_REF,60.08,17.48,TEMP,712,3,35
SWE\_SKO\_MIN,58.36,12.15,TEMP,533,1,11
SWE\_SKY\_38Y,60.13,17.84,TEMP,326,1,12
SWE\_SKY\_68Y,60.1,17.83,TEMP,664,2,12
SWE\_SVA\_MIX\_NON,64.26,19.77,TEMP,861,2,20
THA\_KHU,15.27,103.08,TROP,411,1,6
USA\_BNZ\_BLA,64.7,-148.32,BOR,797,1,6
USA\_CHE\_ASP,45.94,-90.27,TEMP,3548,6,149
USA\_CHE\_MAP,45.95,-90.26,TEMP,2651,2,153
USA\_DUK\_HAR,36.98,-79.09,TEMP,495,6,34
USA\_HIL\_HF2,36.22,-78.86,TEMP,228,5,23
USA\_INM,39.32,-86.41,TEMP,766,6,9
USA\_MOR\_SF,39.32,-86.41,TEMP,285,4,6
USA\_NWH,34.58,-91.26,TEMP,248,2,10
USA\_ORN\_ST1\_AMB,35.9,-84.33,TEMP,247,1,8
USA\_PAR\_FER,35.8,-76.67,TEMP,467,1,8
USA\_PER\_PER,30.21,-83.87,TROP,6269,1,80
USA\_PJS\_P04\_AMB,34.39,-106.53,DRY,2313,2,10
USA\_PJS\_P08\_AMB,34.39,-106.53,DRY,2262,2,10
USA\_PJS\_P12\_AMB,34.39,-106.53,DRY,2350,2,10
USA\_SIL\_OAK\_1PR,39.92,-74.6,TEMP,1210,4,18
USA\_SIL\_OAK\_2PR,39.92,-74.6,TEMP,2275,4,22
USA\_SMI\_SER,38.89,-76.56,TEMP,1045,5,31
USA\_SWH,34.11,-91.13,TEMP,511,2,16
USA\_SYL\_HL1,46.24,-89.35,TEMP,3130,3,48
USA\_SYL\_HL2,46.24,-89.35,TEMP,1631,4,20
USA\_TNB,36.47,-84.7,TEMP,583,4,8
USA\_TNO,35.97,-84.28,TEMP,680,5,9
USA\_TNP,35.96,-84.29,TEMP,806,5,9
USA\_UMB\_CON,45.56,-84.71,TEMP,5840,5,57
USA\_UMB\_GIR,45.56,-84.7,TEMP,5867,4,57
USA\_WIL\_WC1,45.81,-90.09,TEMP,639,5,16
USA\_WVF,39.06,-79.69,TEMP,488,5,8
ZAF\_FRA\_FRA,-33.88,19.06,WOOD,220,1,3
ZAF\_RAD,-34.08,19.11,WOOD,303,1,3
ZAF\_SOU\_SOU,-34.09,19.09,WOOD,198,1,2
ZAF\_WEL\_SOR,-33.48,18.96,WOOD,356,1,3
