num_code,si_code,si_name,si_lat,si_long,si_elev,nspecies
1,ARG_MAZ,Mazaruca_Patagonia,-51.58,-72.29,550,1
2,ARG_TRE,Tres Marias,-51.32,-72.19,460,1
3,AUS_BRI_BRI,Britannia Creek,-37.87,145.85,707,1
4,AUS_CAN_ST1_EUC,Cann River,-37.58,149.17,180,1
5,AUS_CAN_ST2_MIX,Cann River,-37.58,149.17,180,2
6,AUS_CAN_ST3_ACA,Cann River,-37.58,149.17,180,1
7,AUS_CAR_THI_00F,Carrajung,-38.38,146.68,610,1
8,AUS_CAR_THI_0P0,Carrajung,-38.38,146.68,610,1
9,AUS_CAR_THI_0PF,Carrajung,-38.38,146.68,610,1
10,AUS_CAR_THI_CON,Carrajung,-38.38,146.68,610,1
11,AUS_CAR_THI_T00,Carrajung,-38.38,146.68,610,1
12,AUS_CAR_THI_T0F,Carrajung,-38.38,146.68,610,1
13,AUS_CAR_THI_TP0,Carrajung,-38.38,146.68,610,1
14,AUS_CAR_THI_TPF,Carrajung,-38.38,146.68,610,1
15,AUS_ELL_HB_HIG,Ella,-36.78,146.58,705,2
16,AUS_ELL_MB_MOD,Ella,-36.78,146.58,693,1
17,AUS_ELL_UNB,Ella,-36.78,146.58,737,1
18,AUS_KAR,Karijini NP,-22.62,118.22,710,1
19,AUS_MAR_HSD_HIG,Maroondah,-37.64,145.58,468,2
20,AUS_MAR_HSW_HIG,Maroondah,-37.65,145.57,297,2
21,AUS_MAR_MSD_MOD,Maroondah,-37.64,145.58,467,2
22,AUS_MAR_MSW_MOD,Maroondah,-37.65,145.57,261,2
23,AUS_MAR_UBD,Maroondah,-37.69,145.56,303,3
24,AUS_MAR_UBW,Maroondah,-37.89,145.57,336,3
25,AUS_RIC_EUC_ELE,Richmond NSW EucFACE,-33.62,150.74,23,1
26,AUS_WOM,WombatStateForest,-37.42,144.09,705,2
27,AUT_PAT_FOR,Patscherkofel,47.21,11.45,1950,1
28,AUT_PAT_KRU,Patscherkofel,47.21,11.45,2180,1
29,AUT_PAT_TRE,Patscherkofel,47.21,11.45,2110,1
30,AUT_TSC,Tschirgant south,47.23,10.84,750,1
31,BRA_CAM,Campos do Jordão,-22.69,-45.52,2000,1
32,BRA_CAX_CON,Caxiuana,-1.79,-51.43,15,8
33,BRA_SAN,Santa Virgínia (PESM),-23.28,-45.18,1000,4
34,CAN_TUR_P39_POS,TUR,42.71,-80.36,184,1
35,CAN_TUR_P39_PRE,TUR,42.71,-80.36,184,1
36,CAN_TUR_P74,TUR,42.71,-80.35,184,1
37,CHE_DAV_SEE,Davos,46.82,9.86,1650,1
38,CHE_LOT_NOR,Lotschental,46.39,7.76,1300,2
39,CHE_PFY_CON,Pfynwald,46.3,7.6,615,1
40,CHE_PFY_IRR,Pfynwald,46.3,7.6,615,1
41,CHN_ARG_GWD,Arghan,40.75,89.99,830,1
42,CHN_ARG_GWS,Arghan,41.38,89.94,830,1
43,CHN_HOR_AFF,Horqin,42.72,122.37,226,1
44,CHN_YIN_ST1,Yingbazar ,42.45,85.72,900,1
45,CHN_YIN_ST2_DRO,Yingbazar ,42.11,85.13,930,1
46,CHN_YIN_ST3_DRO,Yingbazar ,42.29,85.99,930,1
47,CHN_YUN_YUN,Yunxiao,23.92,117.42,0,2
48,COL_MAC_SAF_RAD,Macagual Universidad de la Amazonia,1.5,-75.36,360,1
49,CRI_TAM_TOW,TAMU Soltis Center,10.39,-84.63,600,17
50,CZE_BIK,Bik,49.49,18.53,875,1
51,CZE_BIL_BIL,Bilovice,49.25,16.69,320,1
52,CZE_KRT_KRT,Krtiny,49.32,16.75,480,1
53,CZE_LAN,Lanžhot,48.68,16.95,150,3
54,CZE_LIZ_LES,Liz,49.07,13.68,858,1
55,CZE_RAJ_RAJ,Rajec,49.44,16.7,600,1
56,CZE_SOB_SOB,Sobesice,49.25,16.69,320,1
57,CZE_STI,Stitna nad Vlari,49.04,17.97,550,1
58,CZE_UTE_BEE,Utechov,49.28,16.65,420,1
59,CZE_UTE_BNA,Utechov,49.28,16.65,390,1
60,CZE_UTE_BPO,Utechov,49.28,16.65,370,1
61,CZE_UTE_SPR,Utechov,49.28,16.65,360,1
62,DEU_HIN_OAK,Hinnensee,53.33,13.19,90,1
63,DEU_HIN_TER,Hinnensee,53.33,13.19,95,2
64,DEU_MER_BEE_NON,Merzalben,49.27,7.81,550,1
65,DEU_MER_BEE_THI,Merzalben,49.27,7.81,550,1
66,DEU_MER_DOU_NON,Merzalben,49.27,7.81,550,1
67,DEU_MER_DOU_THI,Merzalben,49.27,7.81,550,1
68,DEU_MER_MIX_NON,Merzalben,49.27,7.81,550,2
69,DEU_MER_MIX_THI,Merzalben,49.27,7.81,550,2
70,DEU_STE_2P3,Stechlin,53.1,13,78,1
71,DEU_STE_4P5,Stechlin,53.1,13,78,1
72,ESP_ALT_ARM,Alto Tajo,40.78,-2.33,1079,3
73,ESP_ALT_HUE,Alto Tajo,40.79,-2.29,907,2
74,ESP_ALT_TRI,Alto Tajo,40.8,-2.23,981,2
75,ESP_CAN,Can Balasc,41.43,2.07,270,4
76,ESP_GUA_VAL,Guadarrama,40.9,-4.03,1140,1
77,ESP_LAH_COM,LaHarina,37.74,-3.38,180,1
78,ESP_LAS,"Las Canadas, Teide natinal park tenerife",28.31,-16.57,2070,1
79,ESP_MAJ_MAI,Majadas del Tietar,39.94,-5.77,260,1
80,ESP_MAJ_NOR_LM1,Majadas del Tietar,39.94,-5.77,260,1
81,ESP_MON_SIE_NAT,Montejo,41.12,-3.5,1400,3
82,ESP_RIN,Rinconada experimental catchment,40.6,-6.02,1200,1
83,ESP_RON_PIL,Ronda,36.69,-5.02,1734,2
84,ESP_SAN_A2_45I,Sanabria orchard,37.25,-5.8,49,1
85,ESP_SAN_A_45I,Sanabria orchard,37.25,-5.8,49,1
86,ESP_SAN_B_100,Sanabria orchard,37.25,-5.8,49,1
87,ESP_SAN_B2_100,Sanabria orchard,37.25,-5.8,49,1
88,ESP_TIL_MIX,Tillar,41.33,1.01,1018,2
89,ESP_TIL_OAK,Tillar,41.33,1.01,1011,1
90,ESP_TIL_PIN,Tillar,41.33,1.01,1065,1
91,ESP_VAL_BAR,Vallcebre,42.2,1.82,1102,1
92,ESP_VAL_SOR,Vallcebre,42.2,1.81,1257,1
93,ESP_YUN_C1,Yunquera,36.72,-4.97,1220,1
94,ESP_YUN_C2,Yunquera,36.72,-4.97,1180,1
95,ESP_YUN_T1_THI,Yunquera,36.72,-4.97,1190,1
96,ESP_YUN_T3_THI,Yunquera,36.72,-4.97,1185,1
97,FIN_HYY_SME,Hyytiala Forest Field Station,61.85,24.29,185,2
98,FIN_PET,Petsikko,69.49,27.23,251,1
99,FRA_FON,Fontainebleau-Barbeau,48.48,2.78,105,2
100,FRA_HES_HE1_NON,Hesse,48.67,7.06,300,1
101,FRA_HES_HE2_NON,Hesse,48.67,7.06,300,1
102,FRA_PUE,Puechabon,43.74,3.6,270,1
103,GBR_ABE_PLO,Aberfeldy,56.62,-3.8,340,1
104,GBR_DEV_CON,Devilla,56.03,-3.72,75,1
105,GBR_DEV_DRO,Devilla,56.03,-3.72,75,1
106,GBR_GUI_ST1,Guisachan,57.27,-4.82,300,1
107,GBR_GUI_ST2,Guisachan,57.27,-4.82,300,1
108,GBR_GUI_ST3,Guisachan,57.27,-4.82,300,1
109,GUF_GUY_GUY,Guyaflux,5.28,-52.92,40,6
110,GUF_GUY_ST2,Guyaflux,5.28,-52.91,45,7
111,GUF_NOU_PET,Nouragues station,4.08,-52.68,120,10
112,HUN_SIK,Sikfokut,47.93,20.44,330,2
113,IDN_JAM_OIL,Jambi,-2.07,102.79,71,1
114,IDN_JAM_RUB,Jambi,-2.1,102.78,90,1
115,IDN_PON_STE,Pono,-1.49,120.06,1050,8
116,ISR_YAT_YAT,Yatir,31.34,35.05,650,1
117,ITA_FEI_S17,Feichtwald-Matsch,46.69,10.61,1715,1
118,ITA_KAE_S20,Kaelbergangl-Matsch,46.7,10.61,1990,1
119,ITA_MAT_S21,Matscher Alm-Matsch,46.74,10.69,2100,2
120,ITA_MUN,Muntatschinig-Matsch,46.68,10.58,1160,1
121,ITA_REN,Renon,46.59,11.43,1794,3
122,ITA_RUN_N20,Runer Koepfl-Matsch,46.7,10.64,2030,2
123,ITA_TOR,Torgnon,45.82,7.56,2100,1
124,JPN_EBE_HYB,Ebetsu,43.08,141.52,40,1
125,JPN_EBE_SUG,Ebetsu,43.08,141.52,40,1
126,KOR_TAE_TC1_LOW,Taehwa,37.3,127.32,160,1
127,KOR_TAE_TC2_MED,Taehwa,37.3,127.32,160,1
128,KOR_TAE_TC3_EXT,Taehwa,37.3,127.32,160,1
129,MDG_SEM_TAL,Semi-mature forest,-18.93,48.71,950,6
130,MDG_YOU_SHO,Young secondary forest,-18.95,48.4,990,1
131,MEX_COR_YP,Cortadura,19.49,-97.04,2180,1
132,MEX_VER_BSJ,VERACRUZ_BSJ,19.51,-96.98,1440,5
133,MEX_VER_BSM,VERACRUZ_BSM,19.53,-96.99,1524,2
134,NLD_LOO,Loobos,52.17,5.74,25,1
135,NLD_SPE_DOU,Speulderbos,52.25,5.69,50,1
136,NZL_HUA_HUA,Huapai,-36.8,174.49,90,1
137,PRT_LEZ_ARN,LEZIRIAS,38.83,-8.82,15,1
138,PRT_MIT,MITRA II,38.54,-8,235,1
139,PRT_PIN,Pinheiro da Cruz,38.25,-8.76,5,2
140,RUS_CHE_LOW,Cherskii,68.74,161.5,90,1
141,RUS_CHE_Y4,CHE,68.74,161.41,6,1
142,RUS_FYO,Fyodorovskoye,56.46,32.92,260,3
143,RUS_POG_VAR,Pogorelsky Bor,56.36,92.95,243,3
144,SEN_SOU_IRR,Souilène,16.34,-15.43,10,1
145,SEN_SOU_POS,Souilène,16.34,-15.43,10,1
146,SEN_SOU_PRE,Souilène,16.34,-15.43,10,1
147,SWE_NOR_ST1_AF1,Norunda,60.09,17.48,45,2
148,SWE_NOR_ST1_AF2,Norunda,60.09,17.48,45,2
149,SWE_NOR_ST1_BEF,Norunda,60.09,17.48,45,2
150,SWE_NOR_ST2,Norunda,60.09,17.48,45,2
151,SWE_NOR_ST3,Norunda,60.09,17.48,45,2
152,SWE_NOR_ST4_AFT,Norunda,60.08,17.48,45,3
153,SWE_NOR_ST4_BEF,Norunda,60.08,17.48,45,2
154,SWE_NOR_ST5_REF,Norunda,60.08,17.48,45,3
155,SWE_SKO_MIN,Skogaryd,58.36,12.15,76,1
156,SWE_SKY_38Y,Skyttorp,60.13,17.84,50,1
157,SWE_SKY_68Y,Skyttorp,60.1,17.83,50,2
158,SWE_SVA_MIX_NON,Svartberget,64.26,19.77,267,2
159,THA_KHU,Khu-Muang,15.27,103.08,150,1
160,USA_BNZ_BLA,BNZSPRC1,64.7,-148.32,50,1
161,USA_CHE_ASP,ChEAS,45.94,-90.27,477,6
162,USA_CHE_MAP,ChEAS,45.95,-90.26,1565,2
163,USA_DUK_HAR,Duke Blackwood Hardwood,36.98,-79.09,163,6
164,USA_HIL_HF1_POS,Hill Demonstration Forest,36.22,-78.86,174,5
165,USA_HIL_HF1_PRE,Hill Demonstration Forest,36.22,-78.86,174,5
166,USA_HIL_HF2,Hill Demonstration Forest,36.22,-78.86,174,7
167,USA_HUY_LIN_NON,Huyck Preserve  Lincoln Pond,42.53,-74.16,NA,1
168,USA_INM,INMMSF,39.32,-86.41,286,6
169,USA_MOR_SF,Morgan-Monroe State Forest,39.32,-86.41,275,4
170,USA_NWH,NWhiteRiver,34.58,-91.26,48,2
171,USA_ORN_ST1_AMB,ORNL-FACE,35.9,-84.33,227,1
172,USA_ORN_ST2_AMB,ORNL-FACE,35.9,-84.33,227,1
173,USA_ORN_ST3_ELE,ORNL-FACE,35.9,-84.33,227,1
174,USA_ORN_ST4_ELE,ORNL-FACE,35.9,-84.33,227,1
175,USA_PAR_FER,Parker Tract,35.8,-76.67,5,1
176,USA_PER_PER,Perry,30.21,-83.87,14,1
177,USA_PJS_P04_AMB,"PJSEV -Rainfall Manipulation Experiment - Sevilleta NWR, USA",34.39,-106.53,1911,2
178,USA_PJS_P08_AMB,"PJSEV -Rainfall Manipulation Experiment - Sevilleta NWR, USA",34.39,-106.53,1911,2
179,USA_PJS_P12_AMB,"PJSEV -Rainfall Manipulation Experiment - Sevilleta NWR, USA",34.39,-106.53,1911,2
180,USA_SIL_OAK_1PR,Silas Little Experimental Forest premortality,39.92,-74.6,33,4
181,USA_SIL_OAK_2PR,Silas Little Experimental Forest premortality,39.92,-74.6,33,4
182,USA_SIL_OAK_POS,Silas Little Experimental Forest premortality,39.92,-74.6,33,5
183,USA_SMI_SCB,Smithsonian Conservation Biology Insitute,38.89,-78.15,273,3
184,USA_SMI_SER,Smithsonian Environmental Research Center,38.89,-76.56,19,5
185,USA_SWH,SWhiteRiver,34.11,-91.13,44,2
186,USA_SYL_HL1,Sylvania Wilderness,46.24,-89.35,500,3
187,USA_SYL_HL2,Sylvania Wilderness,46.24,-89.35,500,4
188,USA_TNB,TNBSF,36.47,-84.7,454,4
189,USA_TNO,TNOAK,35.97,-84.28,340,5
190,USA_TNP,TNPINE,35.96,-84.29,342,5
191,USA_TNY,TNYPOP,35.69,-83.5,850,3
192,USA_UMB_CON,UMBS,45.56,-84.71,236,5
193,USA_UMB_GIR,UMB,45.56,-84.7,239,4
194,USA_WIL_WC1,Willow Creek,45.81,-90.09,520,5
195,USA_WIL_WC2,Willow Creek,45.81,-90.09,520,4
196,USA_WVF,WVFEF,39.06,-79.69,844,5
197,UZB_YAN_DIS,Yangibazar,41.65,60.62,101,2
198,ZAF_FRA_FRA,Franshoek South Africa,-33.88,19.06,190,1
199,ZAF_NOO_E3_IRR,Nooitgedacht farm,-33.2,19.34,1089,1
200,ZAF_RAD,Radyn EGVV,-34.08,19.11,409,1
201,ZAF_SOU_SOU,Southfield EGVV,-34.09,19.09,389,1
202,ZAF_WEL_SOR,Wellington Western Cape,-33.48,18.96,81,1
